product_id,product_name,category,unit_cost,unit_price,weight_kg,active_flag,created_date
MAT000001,BOOK-MQX-1,Books,444.98,1102.92,26.81,N,2020-07-31
MAT000002,BEAU-MHS-2,Beauty,432.04,803.73,37.39,Y,2024-07-08
MAT000003,AUTO-KCN-3,Automotive,415.96,1035.45,24.94,Y,2020-05-31
MAT000004,ELEC-QHH-4,Electronics,389.82,742.89,10.4,Y,2019-07-05
MAT000005,HOME-KGH-5,Home & Garden,178.02,420.52,2.29,Y,2018-11-12
MAT000006,FURN-WCR-6,Furniture,296.15,498.78,15.5,Y,2015-11-28
MAT000007,BOOK-IGU-7,Books,442.4,1021.93,23.97,Y,2024-10-28
MAT000008,AUTO-XFW-8,Automotive,137.19,249.42,16.36,Y,2017-02-26
MAT000009,HOME-RYO-9,Home & Garden,177.46,236.66,21.75,Y,2024-01-10
MAT000010,GROC-GGC-10,Grocery,151.61,312.17,12.8,Y,2020-08-28
MAT000011,BEAU-XMI-11,Beauty,216.15,274.09,39.7,Y,2017-11-23
MAT000012,BEAU-KPN-12,Beauty,254.3,313.17,21.67,Y,2017-07-29
MAT000013,TOYS-PBJ-13,Toys,435.31,959.56,28.05,Y,2020-07-20
MAT000014,SPOR-RDO-14,Sports,70.59,145.07,30.66,Y,2025-03-10
MAT000015,ELEC-SVA-15,Electronics,286.64,676.63,11.12,Y,2024-11-10
MAT000016,BEAU-RSY-16,Beauty,121.83,283.92,25.03,Y,2024-05-29
MAT000017,BEAU-NNC-17,Beauty,1.72,2.85,34.32,Y,2020-08-07
MAT000018,APPA-ELM-18,Apparel,14.63,17.62,11.29,Y,2019-05-29
MAT000019,SPOR-POQ-19,Sports,457.09,1084.18,20.77,Y,2017-11-10
MAT000020,BEAU-JHY-20,Beauty,277.07,452.07,9.79,Y,2017-08-30
MAT000021,TOYS-WRW-21,Toys,407.8,545.71,19.52,Y,2021-12-08
MAT000022,APPA-MSJ-22,Apparel,317.56,423.87,20.81,Y,2020-11-16
MAT000023,APPA-CTR-23,Apparel,289.18,626.15,9.43,Y,2017-03-28
MAT000024,BEAU-RMF-24,Beauty,147.37,285.95,39.33,Y,2016-10-13
MAT000025,HOME-VNQ-25,Home & Garden,109.53,271.82,28.59,N,2022-01-11
MAT000026,BOOK-GOX-26,Books,413.21,544.0,12.05,Y,2017-03-22
MAT000027,HOME-LBX-27,Home & Garden,29.81,50.17,39.25,N,2017-05-11
MAT000028,SPOR-KNI-28,Sports,53.53,103.37,0.29,Y,2015-02-06
MAT000029,FURN-CLH-29,Furniture,356.63,519.38,5.23,Y,2020-08-29
MAT000030,ELEC-XAE-30,Electronics,169.17,372.57,4.31,Y,2018-08-03
MAT000031,HOME-OBK-31,Home & Garden,115.69,140.1,38.74,Y,2023-09-23
MAT000032,SPOR-OHE-32,Sports,296.48,633.24,26.07,Y,2025-06-02
MAT000033,TOYS-GDK-33,Toys,73.04,144.14,5.3,Y,2025-02-25
MAT000034,HOME-NYG-34,Home & Garden,201.22,390.3,22.38,Y,2022-03-08
MAT000035,TOYS-EKZ-35,Toys,60.42,75.21,31.94,Y,2023-03-10
MAT000036,FURN-ORD-36,Furniture,363.24,474.52,5.14,Y,2026-06-21
MAT000037,ELEC-AGA-37,Electronics,446.4,982.02,39.85,Y,2025-03-25
MAT000038,BOOK-DZW-38,Books,127.74,234.29,9.5,Y,2018-08-05
