order_id,customer_id,product_id,order_date,quantity,unit_price,sales_amount,discount_pct,order_status,currency,region,load_timestamp
SO000000001,CUST0005941,MAT000383,2026-05-04,15.0,301.93,4528.95,20,Completed,USD,France,2026-08-11 23:25:20
SO000000002,CUST0006954,MAT000833,2024-12-28,15.0,456.45,6846.75,5,Completed,USD,Australia,2026-08-12 11:25:20
SO000000003,CUST0002839,MAT000362,2023-09-02,22.0,35.09,771.98,10,Completed,JPY,India,2026-08-12 09:25:20
SO000000004,CUST0000054,MAT000888,2024-08-13,3.0,582.46,1747.38,0,Completed,EUR,Saudi Arabia,2026-08-11 19:25:20
SO000000005,CUST0005249,MAT000157,2024-10-24,9.0,547.35,4926.15,0,Completed,USD,China,2026-08-12 02:25:20
SO000000006,CUST0001675,MAT000018,2025-07-15,11.0,254.9,2803.9,0,Completed,USD,China,2026-08-11 22:25:20
SO000000007,CUST0000172,MAT000389,2024-07-05,19.0,165.67,3147.73,0,Completed,AED,Australia,2026-08-12 07:25:20
SO000000008,CUST0001028,MAT000780,2026-05-24,21.0,70.32,1476.72,5,Completed,INR,South Africa,2026-08-12 09:25:20
SO000000009,CUST0001370,MAT000952,2023-11-09,24.0,530.67,12736.08,0,Completed,AED,France,2026-08-11 21:25:20
SO000000010,CUST0002567,MAT000584,2024-02-20,13.0,514.17,6684.21,5,Completed,EUR,Saudi Arabia,2026-08-12 03:25:20
SO000000011,CUST0005007,MAT000888,2025-09-07,22.0,482.32,10611.04,0,Completed,EUR,South Africa,2026-08-12 13:25:20
SO000000012,CUST0003166,MAT001053,2025-04-16,23.0,887.13,20403.99,0,Completed,GBP,Mexico,2026-08-12 11:25:20
SO000000013,CUST0001689,MAT000452,2023-09-29,16.0,480.73,7691.68,10,Shipped,GBP,Mexico,2026-08-12 01:25:20
SO000000014,CUST0007776,MAT000277,2023-07-13,15.0,651.0,9765.0,0,Completed,INR,Australia,2026-08-11 15:25:20
SO000000015,CUST0003965,MAT000248,2026-05-19,19.0,106.06,2015.14,5,Completed,AED,France,2026-08-11 23:25:20
SO000000016,CUST0000771,MAT001107,2024-12-21,4.0,272.58,1090.32,0,Shipped,USD,Canada,2026-08-12 05:25:20
SO000000017,CUST0006055,MAT000086,2024-03-03,18.0,251.52,4527.36,0,Completed,USD,Mexico,2026-08-12 14:25:20
SO000000018,CUST0003264,MAT000060,2025-05-07,17.0,520.5,8848.5,0,Pending,JPY,China,2026-08-12 00:25:20
